FundID,FundName,FundFormerName,FundNo,FirstFund,Investor,InvestorWebsite,Vintage,FundStatus,FundSize,NativeFundSize,NativeFundCurrency,FundSizeGroup,FundCategory,FundType,FundAccessPoint,SBICFund,CloseDate,OpenDate,FundTargetSizeLow,FundTargetSizeHigh,FundTargetSize,Domiciles,FundLocation,FundCity,FundState_Province,FundCountry,TimeTakenToCloseFund,FundFamily,TotalFundInvestments,AsOfYear,AsOfQuarter,IRR,DPI,TVPI,RVPI,GainSinceInception,Contributed,CalledDownPercent,DryPowder,DryPowderPercent,Distributed,NAV,DistributedAndNAV,Sources,Quartile,IRRDifferenceFromBenchmark,DPIDifferenceFromBenchmark,TVPIDifferenceFromBenchmark,RVPIDifferenceFromBenchmark,IRRBenchmark,DPIBenchmark,TVPIBenchmark,RVPIBenchmark,RowID,LastUpdated
15120-73F,Startcaps Angel Fund I,,1,Yes (StartCaps Ventures),StartCaps Ventures,StartCaps Ventures (www.startcaps.com),2015,Liquidated,0.35,0.35,USD,0 - 99M,Venture Capital,Venture - General,Primary Fund,No,12/31/2015,06/02/2015,2.5,,> 2.5,United States: Delaware,"San Francisco, CA",San Francisco,California,United States,212 days,Startcaps Angel Fund,14,,,,,,,,,,0.02,6.43175833,,,,,,,,,,18.2,0.57,2.32,1.54,9805a83d7aaba1516ccef75cb39384c860d970bb8c004a35366f46c517e425f3,12/12/2024
15122-35F,Y Combinator Continuity Fund I,,3,,Y Combinator,Y Combinator (www.ycombinator.com),2015,Closed,700.0,700.0,USD,500M - 999M,Venture Capital,Venture Capital - Early Stage,Primary Fund,No,10/16/2015,06/15/2015,1000,,> 1000,United States,"Mountain View, CA",Mountain View,California,United States,123 days,Y Combinator Continuity Fund,515,,,,,,,,,,32.48,4.6399413,,,,,,,,,,18.0,0.9,2.36,1.31,c34c51381d204fe8c7af68ef1e3c868b9d4bd143d2a6265d2b1561904af20b0c,12/12/2024
15160-15F,Fundo Criatec III,,"2 (Banco Do Nordeste), 3 (KPTL)",,"Banco Do Nordeste, KPTL","Banco Do Nordeste (www.bnb.gov.br), KPTL (www.kptl.com.br)",2015,Closed,55.4172772,217.0,BRL,0 - 99M,Venture Capital,Venture - General,Primary Fund,No,10/23/2015,10/29/2014,55.42,,> 55.42,Brazil,"Sao Paulo, Brazil",Sao Paulo,,Brazil,359 days,"Criatec, Fundo Criatec",20,,,,,,,,,,4.5,8.115,,,,,,,,,,24.82,0.344,1.625,0.96,26e79e962668bb8de95ca8282b10a727bff1be622229f9b4461b47cf166ed5f0,12/09/2024
15177-43F,Spectra Private Equity II,,2,,Spectra Investments,Spectra Investments (spectrainvest.com),2014,Closed,42.50470598,100.0,BRL,0 - 99M,Private Equity,Diversified Private Equity,Fund of Funds,No,01/01/2014,,,,,Brazil,"Sao Paulo, Brazil",Sao Paulo,São Paulo,Brazil,,Spectra Investments,46,2024,2Q,24.0,2.53,4.08,1.55,129.58834759,42.07540845,98.99,0.43,1.01,106.42,65.24047321,171.66375604,Spectra,1 (Top),12.635,1.16,1.545,0.385,11.365,1.37,2.535,1.165,8b0738f1079fd71ffe130e0f17d0d94154ecc055db01e90ab3cbfeaeabca7a0b,12/09/2024
15177-52F,Spectra Investments III,,3,,Spectra Investments,Spectra Investments (spectrainvest.com),2016,Closed,93.29994923,360.0,BRL,0 - 99M,Private Equity,Diversified Private Equity,Fund of Funds,No,01/01/2016,,,103.67,< 103.67,Brazil,"Sao Paulo, Brazil",Sao Paulo,São Paulo,Brazil,,Spectra Investments,114,2024,2Q,33.0,1.48,3.68,2.2,390.62874577,145.78117067,100.00,0.0,0.0,215.30,321.11250859,536.40991644,Spectra,1 (Top),14.65,0.0995,1.49,1.206,18.35,1.3805,2.19,0.994,8f1fac3f6ff5652d24dab762b69fd3a03379d43e2c35f59548e4ac6a9710264c,12/09/2024
15185-89F,DST Global V,,7,,DST Global,DST Global (www.dst-global.com),2017,Closed,1850.0,1850.0,USD,1B - 4.99B,Venture Capital,Venture - General,Primary Fund,No,07/31/2015,07/17/2015,,,,Cayman Islands,"Grand Cayman, Cayman Islands",Grand Cayman,,Cayman Islands,14 days,DST Global,59,2022,4Q,,0.53,1.94,1.41,1767.77777778,1888.64444444,100.00,0.0,0.0,998.18,2658.24444444,3656.42222222,"CPPIB, Cppib Asia Inc.",,,0.26,0.355,0.095,6.51,0.27,1.585,1.315,37465fc6011aab489b5a270f79e07d206ec5164d43a965b765d0cadd6f7f2b03,12/09/2024
15187-42F,Mangrove IV,,5,,Mangrove Capital Partners,Mangrove Capital Partners (www.mangrove.vc),2014,Closed,205.68673545,150.0,EUR,100M - 249M,Venture Capital,Venture - General,Primary Fund,No,01/01/2014,,,,,Luxembourg,"Luxembourg, Luxembourg",Luxembourg,,Luxembourg,,Mangrove,69,2020,4Q,,0.03,2.01,1.98,181.68994964,178.67321086,86.87,4.82,2.34375,5.76,354.60393191,360.3631605,Mangrove,,,-0.34,0.0,0.28496098,12.76,0.37,2.01,1.69503902,041f3e140acd7c34924642d7dc99ce4b852409b42499847c1c82e6cacb6a16ea,12/14/2024
15199-39F,Divergent Venture Partners IV,,4,,Divergent Ventures,Divergent Ventures (www.divergentvc.com),2015,Fully Invested,10.8,10.8,USD,0 - 99M,Venture Capital,Venture Capital - Early Stage,Primary Fund,No,10/01/2016,01/01/2015,10,,> 10,United States,"Seattle, WA",Seattle,Washington,United States,1 year 274 days,Divergent Venture Partners,22,,,,,,,,,,0.69,6.43175833,,,,,,,,,,18.2,0.57,2.32,1.54,e6517f12efab16e49e2b6ba9901c6ce3ba63473e09f754a7c8b4e5b049767736,12/12/2024
15207-22F,500 Startup Seed Fund,,8,,500 Global,500 Global (500.co),2015,Closed,,,USD,,Venture Capital,Venture Capital - Early Stage,Primary Fund,No,12/31/2015,,,,,United States,"San Francisco, CA",San Francisco,California,United States,,,3,,,,,,,,,,,,,,,,,,,,,,,,,266fe47d8cdc7dcff958b18d6b615bcbe545a494bf39c65376f03fd5ead583fb,12/09/2024
15207-76F,Finnovista Fund,,1,Yes (Finnovista),Finnovista,Finnovista (www.finnovista.com),2015,Closed,,,USD,,Private Equity,Buyout,Primary Fund,No,12/31/2015,,15,,> 15,Spain,"Sevilla, Spain",Sevilla,,Spain,,,2,,,,,,,,,,,,,,,,,,,,,,,,,b2a0e591296613317c1d1393add3001746e62e19c717fb11a800404b4961fc13,12/09/2024
15212-89F,Accelerate FC Fund X,,9,,FundersClub,FundersClub (www.fundersclub.com),2015,Closed,1.710707,1.710707,USD,0 - 99M,Venture Capital,Venture - General,Primary Fund,No,08/20/2015,08/05/2015,1.71,,> 1.71,United States: Delaware,"San Francisco, CA",San Francisco,California,United States,15 days,Accelerate FC Fund,40,,,,,,,,,,0.11,6.43175833,,,,,,,,,,18.2,0.57,2.32,1.54,873c568235a7830f1c8f012d7641d181558db55af2d9ec46cb27285abe2e87b6,12/16/2024
15230-89F,Core Ventures Group Fund II,,2,,Core Ventures Group,Core Ventures Group (www.coreventuresgroup.com),2015,Closed,20.0,20.0,USD,0 - 99M,Venture Capital,Venture - General,Primary Fund,No,07/01/2016,08/24/2015,25,,> 25,United States: Delaware,"San Francisco, CA",San Francisco,California,United States,312 days,Core Ventures Group Fund,10,2021,4Q,12.02,0.0,1.54,1.54,9.141641,17.015719,85.08,1.29,6.43175833,0.00,26.15736,26.15736,CVG,3 (Lower-Mid),-6.18,-0.57,-0.78,0.0,18.2,0.57,2.32,1.54,37440ee9e3dfd1946509e0e22d4e8e32c03665048b672f6bd6e4f4e46099ab3a,12/12/2024
15231-16F,Sierra Ventures XI,,11,,Sierra Ventures,Sierra Ventures (www.sierraventures.com),2016,Closed,170.9,170.9,USD,100M - 249M,Venture Capital,Venture - General,Primary Fund,No,01/07/2016,09/04/2015,170.9,,> 170.9,United States: Delaware,"San Mateo, CA",San Mateo,California,United States,125 days,Sierra Ventures,41,2024,1Q,29.25,0.42,4.15,3.73,527.09,167.45,97.98,3.45,2.0187244,70.00,624.54,694.54,Sierra,1 (Top),9.425,-0.21,1.95,2.13433,19.825,0.63,2.2,1.59567,82931e838039117cd037bbf3e701ca1a75b4756c5a7b9cb017a2cce50f01d687,12/15/2024
15231-52F,Morningside China TMT Special Opportunity Fund II,,9,,5Y Capital,5Y Capital (www.5ycap.com),2017,Closed,200.0,200.0,USD,100M - 249M,Venture Capital,Venture - General,Primary Fund,No,09/01/2015,08/22/2015,200,,> 200,Cayman Islands,"Shanghai, China",Shanghai,,China,10 days,Morningside China TMT Special Opportunity Fund,4,,,,,,,,,,2.57,1.28297982,,,,,,,,,,29.315,0.191,2.725,2.2,c364e93ea801b53304db06203d3b9212642ca69905092379f3638d3288ed9177,12/13/2024
15243-40F,Sequoia Capital India V,SC India Principals V,"6 (Peak XV Partners), 54 (Sequoia Capital)",,"Peak XV Partners, Sequoia Capital","Peak XV Partners (www.peakxv.com), Sequoia Capital (www.sequoiacap.com)",2016,Closed,920.0,920.0,USD,500M - 999M,Venture Capital,Venture - General,Primary Fund,No,02/01/2016,10/30/2015,800,,> 800,Mauritius,"Mumbai, India",Mumbai,,India,94 days,"Sequoia Capital India, Sequoia Capital India",73,,,,,,,,,,,,,,,,,,,,,40.97,0.595,1.54,2.035,9ffa1ef4b4655a06a06dc83a08d1f17cdc6247636678555c9fd650812b7f3369,12/09/2024
15264-82F,Avalanche Ventures Fund I,,1,Yes (Avalancha Ventures),Avalancha Ventures,Avalancha Ventures (www.avalancha.ventures),2015,Closed,15.0,15.0,USD,0 - 99M,Venture Capital,Venture - General,Primary Fund,No,09/17/2015,,,,,Mexico,"Mexico City, Mexico",Mexico City,,Mexico,,Avalanche Ventures Fund,28,,,,,,,,,,0.96,6.43175833,,,,,,,,,,18.2,0.57,2.32,1.54,b9ad0ae1435ebd815cbc21305484f81ffb414fa9aecd6b11e5ae1673c0488c82,12/12/2024
15273-82F,Accion Frontier Inclusion Fund,,2,,Quona Capital,Quona Capital (www.quona.com),2015,Closed,141.0,141.0,USD,100M - 249M,Venture Capital,Venture - General,Primary Fund,No,03/05/2017,10/23/2015,,,,Cayman Islands,"Washington, DC",Washington,District of Columbia,United States,1 year 134 days,,51,,,,,,,,,,9.07,6.43175833,,,,,,,,,,18.2,0.57,2.32,1.54,06778d70ef8dc737efff92ba08693b72a6cb4b3cedcf9a443d3706229d071f53,12/12/2024
15294-52F,Sequoia Capital China Venture 2010 Fund,,"6 (HongShan), 36 (Sequoia Capital)",,"HongShan, Sequoia Capital","HongShan (www.hongshan.com/en), Sequoia Capital (www.sequoiacap.com)",2011,Closed,301.5,301.5,USD,250M - 499M,Venture Capital,Venture - General,Primary Fund,No,12/31/2011,06/07/2010,,,,Cayman Islands,"Beijing, China",Beijing,,China,1 year 207 days,,9,,,,,,,,,,138.64,45.98360181,,,,,,,,,,9.44,0.82,2.06,0.795,4b8b6d82e744375a5e4f38b64c1e94f67d21c2f97ad68b44905a6156898fa188,12/09/2024
15296-14F,DILA Capital II,,2,,DILA Capital,DILA Capital (www.dilacapital.com),2015,Fully Invested,8.79543576,150.0,MXN,0 - 99M,Venture Capital,Venture - General,Primary Fund,No,12/31/2015,04/10/2015,,,,Mexico,"Mexico City, Mexico",Mexico City,,Mexico,265 days,DILA Capital,12,,,,,,,,,,0.57,6.43175833,,,,,,,,,,18.2,0.57,2.32,1.54,a35392c7e49ab8f1f3df9b243ae897c719b630f3e3a668a49e83f916f4592842,12/12/2024
15316-75F,IG Ribbit Opportunity II,,5,,Ribbit Capital,Ribbit Capital (www.ribbitcap.com),2015,Closed,5.5,5.5,USD,0 - 99M,Venture Capital,Venture - General,Primary Fund,No,10/29/2015,10/15/2015,,,,United States: Delaware,"Palo Alto, CA",Palo Alto,California,United States,14 days,,3,,,,,,,,,,0.35,6.43175833,,,,,,,,,,18.2,0.57,2.32,1.54,d2d7ca3c2bfd41dcfde723c31eb5f2580df00dd234bab9974b55e7bf8c09b646,12/12/2024
15326-20F,8 Partners Fund,,1,Yes (Joseph Lonsdale),Joseph Lonsdale,,2016,Closed,,,USD,,Venture Capital,Venture Capital - Early Stage,Primary Fund,No,01/01/2016,,400,,> 400,United States,"Woodside, CA",Woodside,California,United States,,8 Partners Fund,12,,,,,,,,,,,,,,,,,,,,,,,,,f316b8528e77f579960ffc53b2aadad35473b493307721a4ffdd21f647a094e1,12/09/2024
15311-26F,NXTP Labs Fund I,,1,,NXTP Ventures,NXTP Ventures (www.nxtp.vc),2015,Closed,38.5,38.5,USD,0 - 99M,Venture Capital,Venture - General,Primary Fund,No,10/19/2015,,30,,> 30,Argentina,"Buenos Aires, Argentina",Buenos Aires,,Argentina,,NXTP Fund,116,,,,,,,,,,3.12,8.115,,,,,,,,,,24.82,0.344,1.625,0.96,b0b7b40faf8b4e6ba6b2e775d0eb370ebbaac5267d20c3e86f55dc220eabbcda,12/09/2024
15331-42F,SBC MIAMI 2016-2018,,4,,Startupbootcamp,Startupbootcamp (www.startupbootcamp.org),2016,Closed,,,USD,,Venture Capital,Venture - General,Primary Fund,No,01/01/2016,10/26/2015,,,,United States: Delaware,"London, United Kingdom",London,England,United Kingdom,67 days,,82,,,,,,,,,,,,,,,,,,,,,,,,,9e53a6be4097d991017ad286d386547fa6e57e74fe01ca59950d551b5a1a7995,12/09/2024
15335-20F,Peninsula Participacoes Fund,,1,Yes (Peninsula Participacoes),Peninsula Participacoes,Peninsula Participacoes (www.peninsulapart.com.br),2016,Closed,,,USD,,Private Equity,Buyout,Primary Fund,No,01/01/2016,,,,,Brazil,"Sao Paulo, Brazil",Sao Paulo,,Brazil,,,1,,,,,,,,,,,,,,,,,,,,,,,,,990064cc0921aaaa160f4fc457c7ac8d2503a83e2b7351fe732c48ec1fdee0ea,12/09/2024
15336-01F,Cultivation Capital Tech Fund II,,6,,Cultivation Capital,Cultivation Capital (www.cultivationcapital.com),2015,Closed,33.45,33.45,USD,0 - 99M,Venture Capital,Venture - General,Primary Fund,No,12/31/2018,11/19/2014,40,,> 40,United States: Delaware,"Saint Louis, MO",Saint Louis,Missouri,United States,4 years 43 days,Cultivation Capital Tech Fund,46,,,,,,,,,,2.15,6.43175833,,,,,,,,,,18.2,0.57,2.32,1.54,ec6b4ebed1f9ea6bbd48c2cd1502965865632a5a2846b774bcb18c0b18fc6b88,12/12/2024
15368-05F,500 Falcons Fund,,23,,500 Global,500 Global (500.co),2020,Closed,33.163265,33.163265,USD,0 - 99M,Venture Capital,Venture Capital - Early Stage,Primary Fund,No,03/27/2019,,30,,> 30,Cayman Islands,"San Francisco, CA",San Francisco,California,United States,,,62,,,,,,,,,,6.97,21.01397,,,,,,,,,,14.7,0.0,1.29,1.23,647a56a8139dee8e5c925f455d02564a964de1b33359edcf63704e36d1d772bd,12/12/2024
15375-07F,Everyi Capital Asia Fund,,1,Yes (UMC Capital),UMC Capital,UMC Capital (www.umccapital.com),2016,Closed,,,USD,,Venture Capital,Venture - General,Primary Fund,No,01/01/2016,,,,,Taiwan,"Taipei, Taiwan",Taipei,,Taiwan,,,39,,,,,,,,,,,,,,,,,,,,,,,,,5480748724ad2c4bbecd1acfd1041b4e5b67c2309d3485fedd700a5ca8e84366,12/09/2024
15379-84F,Liquid 2 Ventures,,1,Yes (Liquid 2 Ventures),Liquid 2 Ventures,Liquid 2 Ventures (www.liquid2.vc),2016,Closed,28.0,28.0,USD,0 - 99M,Venture Capital,Venture Capital - Early Stage,Primary Fund,No,12/31/2016,12/14/2015,25,,> 25,United States: Delaware,"San Francisco, CA",San Francisco,California,United States,1 year 18 days,Liquid 2 Ventures,82,,,,,,,,,,1.54,5.5,,,,,,,,,,19.825,0.63,2.2,1.59567,491cdc5a7444b311b20cac297624c3b1840e20bb4fe15a12b1aa2371e09cc122,12/11/2024
15381-19F,SOSV III,,3,,SOSV,SOSV (www.sosv.com),2015,Closed,150.0,150.0,USD,100M - 249M,Venture Capital,Venture - General,Primary Fund,No,12/16/2016,01/01/2015,250,,> 250,United States: Delaware,"Princeton, NJ",Princeton,New Jersey,United States,1 year 350 days,SOSV,290,,,,,,,,,,9.65,6.43175833,,,,,,,,,,18.2,0.57,2.32,1.54,bf1ec709fa37eec2d075c0beea7ebb816012359fc0e1b9494536a31d9dfe9dca,12/15/2024
15403-96F,Altair Seed Fund,,2,,AltaIR Capital,AltaIR Capital (www.altair.vc),2015,Closed,100.0,100.0,USD,100M - 249M,Venture Capital,Venture - General,Primary Fund,No,12/22/2019,,100,,> 100,Israel,"San Francisco, CA",San Francisco,California,United States,,,72,2022,1Q,,1.49,19.23,,1732.0,95.0,95.00,6.43,6.43175833,142.00,1685.0,1827.0,AltaIR,,,0.92,16.91,,18.2,0.57,2.32,1.54,bc1a5fd1f7c0ba71ab9ef4158759aa494c8d4d94dcc4abbbd0dffcdbaeb97b44,12/12/2024
15412-78F,Tengelmann Ventures Vintage I,,2,Yes (Tengelmann Ventures),Tengelmann Ventures,Tengelmann Ventures (tengelmann-ventures.com),,Evergreen,,,EUR,,Venture Capital,Venture - General,Primary Fund,No,,01/01/2009,,,,Germany,"Munich, Germany",Munich,,Germany,,Tengelmann Ventures Vintage,38,,,,,,,,,,,,,,,,,,,,,,,,,c4b438612c89ae75c39014c1c12cb82622941dde5aafd2d074ba3e146d7fc924,12/09/2024
15417-64F,LIV Mexico Growth Fund IV,,6,,LIV Capital,LIV Capital (livcapital.mx),2015,Closed,182.0,182.0,USD,100M - 249M,Private Equity,Growth/Expansion,Primary Fund,No,01/01/2016,,250,300,250 - 300,Mexico,"Mexico City, Mexico",Mexico City,,Mexico,,Latin Idea Mexico Venture Capital Fund,4,,,,,,,,,,19.75,10.8496732,,,,,,,,,,16.45,0.59,1.805,1.085,b1ff4a994c56295c98e6b3da2a090c965a1095b1519256ac70262b552e731339,12/13/2024
15424-39F,Danhua Capital II,,2,,DHVC,DHVC (www.dh.vc),2016,Closed,343.2,343.2,USD,250M - 499M,Venture Capital,Venture - General,Primary Fund,No,02/06/2018,,343.2,,> 343.2,United States,"Palo Alto, CA",Palo Alto,California,United States,,Danhua Capital,38,,,,,,,,,,18.28,5.325,,,,,,,,,,17.47,0.51,2.03,1.32,020f6576883d75b44a2e0fcacec5050b7b39a2c720ddb6e3ce0a31c2b8913bcb,12/14/2024
15440-86F,Susa Ventures II,,2,,Susa Ventures,Susa Ventures (www.susaventures.com),2016,Closed,50.0,50.0,USD,0 - 99M,Venture Capital,Venture Capital - Early Stage,Primary Fund,No,08/16/2016,01/28/2016,51,,> 51,United States: Delaware,"San Francisco, CA",San Francisco,California,United States,201 days,Susa Ventures,64,,,,,,,,,,2.75,5.5,,,,,,,,,,19.825,0.63,2.2,1.59567,c72e0f8df48c5523027fd23a866e4c6c576f7c7c465735b1eb540b5fca36c363,12/13/2024
15443-65F,Creandum IV,,4,,Creandum,Creandum (www.creandum.com),2016,Closed,198.5613762,182.75,EUR,100M - 249M,Venture Capital,Venture - General,Primary Fund,No,02/01/2016,09/01/2015,198.56,,> 198.56,United Kingdom: Guernsey,"Stockholm, Sweden",Stockholm,,Sweden,153 days,Creandum,51,2022,2Q,45.7,0.04,5.06,5.02,805.2193483,198.28974641,99.86,8.4,4.23160826,8.47,995.03424527,1003.50909471,"AP4, Creandum",1 (Top),30.6,-0.325,3.05,4.02,15.1,0.365,2.01,1.0,d2482a14937a908755fac559ac2304e4ae73a82738967c476e5b5cde878b5203,12/10/2024
15445-90F,HBM Genomics,,3,,HBM Healthcare Investments,HBM Healthcare Investments (www.hbmhealthcare.com),2014,Fully Invested,15.0,15.0,USD,0 - 99M,Venture Capital,Venture Capital - Early Stage,Primary Fund,No,01/01/2014,,,,,Switzerland,"Zug, Switzerland",Zug,,Switzerland,,HBM BioCapital,96,2024,3Q,,0.14,1.84,1.7,21.2,25.3,100.00,,,3.50,43.0,46.5,HBM,,,-0.23,-0.17,0.00496098,12.76,0.37,2.01,1.69503902,f7ffcccfaf8bc4a935bb6318303b26aabb778979acfa7a010fe7ed39440dac1f,12/14/2024
15457-33F,Red Dot Fund,,5,,Temasek Holdings,Temasek Holdings (www.temasek.com.sg),2016,Closed,150.0,150.0,USD,100M - 249M,Private Equity,Growth/Expansion,Primary Fund,No,02/08/2016,,,,,Singapore,"Singapore, Singapore",Singapore,,Singapore,,,114,,,,,,,,,,31.03,20.687275,,,,,,,,,,9.49,0.48,1.31,1.0025,e9a5fb3765cf7477c8f26561a92b350bf026b5149a67b81f36b1e31a85d7c1ce,12/09/2024
15457-60F,Goodwater Capital II,,4,,Goodwater Capital,Goodwater Capital (www.goodwatercap.com),2017,Closed,,,USD,,Venture Capital,Venture Capital - Early Stage,Primary Fund,No,02/16/2017,02/23/2016,250,,> 250,United States: Delaware,"Burlingame, CA",Burlingame,California,United States,359 days,Goodwater Capital,74,,,,,,,,,,,,,,,,,,,,,,,,,d9d408b1473278ccbe9719c9d58f1c4dd6d7f760f685525781390981479d48f5,12/11/2024
15465-52F,LVP Seed Fund II,,2,,London Venture Partners,London Venture Partners (www.londonvp.com),2016,Closed,,,USD,,Venture Capital,Venture Capital - Early Stage,Primary Fund,No,12/31/2016,02/11/2016,50,,> 50,United Kingdom: Jersey,"London, United Kingdom",London,England,United Kingdom,324 days,LVP Seed Fund,17,,,,,,,,,,,,,,,,,,,,,,,,,14d5bab0a86fc609677122148bc0b8c52c9523ff68167719e6882ae31a8d9347,12/09/2024
15467-14F,Internet Fund III,,10,,Tiger Global Management,Tiger Global Management (www.tigerglobal.com),2016,Closed,700.0,700.0,USD,500M - 999M,Venture Capital,Venture - General,Primary Fund,No,01/01/2016,,,,,United States,"New York, NY",New York,New York,United States,,Internet Fund,299,,,,,,,,,,37.27,5.325,,,,,,,,,,17.47,0.51,2.03,1.32,559460dec55b5a79488a353767c608399b825b9661d4b8e9df7a41581433c712,12/14/2024
15479-38F,Carao Ventures Fund I,,2,Yes (Carao Ventures),Carao Ventures,Carao Ventures (www.caraov.com),2021,Closed,20.0,20.0,USD,0 - 99M,Venture Capital,Venture - General,Primary Fund,No,08/18/2022,06/18/2021,,,,Costa Rica,"San Jose, Costa Rica",San Jose,San Jose,Costa Rica,1 year 61 days,Carao Ventures Fund,25,,,,,,,,,,5.8,29.0,,,,,,,,,,15.64,0.0,1.015,1.015,501a221ceaac9405300eecc1fe37644ff4a4d39acf297646a1c9f5127f959a30,12/09/2024
15484-87F,Propel Venture Partners US Fund I,,2,,Propel Venture Partners,Propel Venture Partners (www.propel.vc),2016,Closed,150.0,150.0,USD,100M - 249M,Venture Capital,Venture - General,Primary Fund,No,03/01/2016,01/14/2016,150,,> 150,United States: Delaware,"San Carlos, CA",San Carlos,California,United States,47 days,Propel Venture Partners US Fund,31,,,,,,,,,,8.25,5.5,,,,,,,,,,19.825,0.63,2.2,1.59567,4bd3dc393836fed18b8de06e046746475b9dd7f699b3f4d57ffb852a40f1f04c,12/11/2024
15485-68F,Unreasonable Capital Fund I,,1,Yes (Unreasonable Capital),Unreasonable Capital,Unreasonable Capital (www.unreasonablecapital.com),2016,Closed,5.0,5.0,USD,0 - 99M,Venture Capital,Venture Capital - Early Stage,Primary Fund,No,12/31/2016,01/15/2016,15,,> 15,United States: Delaware,"Boulder, CO",Boulder,Colorado,United States,351 days,Unreasonable Capital Fund,17,,,,,,,,,,0.28,5.5,,,,,,,,,,19.825,0.63,2.2,1.59567,33e887870412842cacd70c11bc27eec48ca6a5139adf4de8de0b8486a4463a99,12/11/2024
15505-12F,Journey II,,1,,Astella Investimentos,Astella Investimentos (www.astella.com.br),2014,Fully Invested,5.69074806,15.0,BRL,0 - 99M,Venture Capital,Venture Capital - Early Stage,Primary Fund,No,12/31/2014,01/01/2014,3.79,,> 3.79,Brazil,"Sao Paulo, Brazil",Sao Paulo,,Brazil,364 days,Astella Journey,16,,,,,,,,,,0.17,2.92307692,,,,,,,,,,24.02,1.19,2.185,0.505,2cd224d0e87cfcf37b3fc40f2ed99e94d8cf794d13bd8da6a55784297e1b22a4,12/09/2024
15505-21F,Astella Journey III,,3,,Astella Investimentos,Astella Investimentos (www.astella.com.br),2017,Closed,25.91665256,100.0,BRL,0 - 99M,Venture Capital,Venture Capital - Early Stage,Primary Fund,No,12/31/2015,,12.96,,> 12.96,Brazil,"Sao Paulo, Brazil",Sao Paulo,,Brazil,,Astella Journey,13,2023,3Q,24.0,0.39,,,,25.91665256,100.00,0.0,0.0,10.11,,,Astella,2 (Upper-Mid),0.0,-0.25,,,24.0,0.64,1.915,1.575,868f49a0900582f5a49447c654c012f9dbaf0bc2c7d6ae9953e45d9fc9923637,12/09/2024
15512-95F,The Founders Fund VI,,8,,Founders Fund,Founders Fund (www.foundersfund.com),2016,Closed,1274.127,1274.127,USD,1B - 4.99B,Venture Capital,Venture - General,Primary Fund,No,03/17/2016,03/17/2016,1274.13,,> 1274.13,United States: Delaware,"San Francisco, CA",San Francisco,California,United States,,The Founders Fund,182,,,,,,,,,,67.85,5.325,,,,,,,,,,17.47,0.51,2.03,1.32,2c0d304997774d2464e03642eefa564f3fbb82cd0f5466a0e1abcdd08fd40a9e,12/14/2024
15527-26F,KAUST Innovation Fund,Seed Fund,1,Yes (KAUST Innovation Ventures),KAUST Innovation Ventures,KAUST Innovation Ventures (innovation.kaust.edu.sa),,Evergreen,,,USD,,Venture Capital,Venture Capital - Early Stage,Primary Fund,No,,01/01/2010,,,,Saudi Arabia,"Thuwal, Saudi Arabia",Thuwal,,Saudi Arabia,,,68,,,,,,,,,,,,,,,,,,,,,,,,,347e82d2bb54ea4924a9705f41e362ea144f0083a6743ac81fd45a9d43a8685e,12/09/2024
15531-58F,FIP Endurance I,,2,Yes (Venturance Alternative Assets),Venturance Alternative Assets,Venturance Alternative Assets (www.venturance.cl),2010,Fully Invested,0.4905581,237.77,CLP,0 - 99M,Private Equity,Growth/Expansion,Primary Fund,No,12/31/2010,01/01/2010,0.49,,> 0.49,Chile,"Santiago, Chile",Santiago,,Chile,364 days,FIP Endurance,1,,,,,,,,,,0.0,0.0,,,,,,,,,,-17.25,0.23,0.31,0.72,3a76d27f0b5fb83b1fb5ac40ee229963df83c92de84791b7c309cead118b26ca,12/09/2024
15536-08F,Criatec 3,,2,,Brazilian Development Bank,Brazilian Development Bank (www.bndes.gov.br),2016,Closed,49.81013621,200.0,BRL,0 - 99M,Venture Capital,Venture - General,Primary Fund,No,02/15/2016,,,,,Brazil,"Rio de Janeiro, Brazil",Rio de Janeiro,,Brazil,,,4,,,,,,,,,,1.09,2.18543046,,,,,,,,,,29.1,0.736,2.79,1.437,fccd7bdf501a304397c4507455af65395eedb1ee79746872e0b6a79ec09de339,12/09/2024
15537-34F,Dot Cap VC Fund,,1,,Dot Capital,Dot Capital (www.dotcapital.com),2016,Fully Invested,3.2,3.2,USD,0 - 99M,Venture Capital,Venture - General,Primary Fund,No,12/31/2016,03/17/2016,25,,> 25,United States: Delaware,"Naples, FL",Naples,Florida,United States,289 days,Dot Capital,4,2018,3Q,22.1,0.265625,1.21,0.940625,0.66,3.2,100.00,,,0.85,3.01,3.86,Dot Capital,2 (Upper-Mid),2.275,-0.364375,-0.99,-0.655045,19.825,0.63,2.2,1.59567,72ff47aa93ddfd4588da99250e6b518d39bc8abb9dc77d35249c371a60400e23,12/11/2024
15579-73F,Digitalbusiness Portfolio I,,1,Yes (Negociosdigitales),Negociosdigitales,Negociosdigitales (www.negociosdigitales.com),2000,Fully Invested,0.2,0.2,USD,0 - 99M,Venture Capital,Venture - General,Primary Fund,No,01/01/2000,,,,,Venezuela,"Caracas, Venezuela",Caracas,Distrito Capital,Venezuela,,Digitalbusiness Portfolio,5,,,,,,,,,,,,,,,,,,,,,-5.7,0.69,0.69,0.0,24adcaed9dd27fe90e8432c08614d76de83cecad48c0b66b15a5c19794004a91,12/09/2024
